season,week,cutline_type,key,raw_cutline,shrunk_cutline,base_cutline
2021,6,position,QB,12.16,12.2865,12.39
2021,6,position,RB,8.8,8.7775,8.75
2021,6,position,WR,8.6,8.645,8.7
2021,6,position,TE,8.4,8.4,8.4
2021,7,slot,QB,20.3,20.245000000000005,20.200000000000003
2021,7,slot,RB,12.4,12.107500000000002,11.75
2021,7,slot,WR,9.7,10.105,10.6
2021,7,slot,TE,9.7,9.549999999999999,9.45
2021,7,slot,FLEX,7.7,7.98,8.4
2021,7,slot,SF,11.02,11.705,12.39
2021,7,position,QB,11.02,11.7735,12.39
2021,7,position,RB,7.7,8.1725,8.75
2021,7,position,WR,8.100000000000001,8.370000000000001,8.7
2021,7,position,TE,7.800000000000001,8.16,8.4
2021,8,slot,QB,20.26,20.227000000000004,20.200000000000003
2021,8,slot,RB,13.6,12.767500000000002,11.75
2021,8,slot,WR,10.8,10.71,10.6
2021,8,slot,TE,8.3,8.989999999999998,9.45
2021,8,slot,FLEX,8.3,8.34,8.4
2021,8,slot,SF,12.62,12.504999999999999,12.39
2021,8,position,QB,12.62,12.493500000000001,12.39
2021,8,position,RB,8.8,8.7775,8.75
2021,8,position,WR,8.3,8.48,8.7
2021,8,position,TE,8.3,8.36,8.4
2021,9,slot,QB,18.14,19.273000000000003,20.200000000000003
2021,9,slot,RB,11.1,11.392500000000002,11.75
2021,9,slot,WR,8.5,9.445,10.6
2021,9,slot,TE,10.8,9.989999999999998,9.45
2021,9,slot,FLEX,8.2,8.28,8.4
2021,9,slot,SF,10.34,11.365,12.39
2021,9,position,QB,10.34,11.467500000000001,12.39
2021,9,position,RB,8.9,8.8325,8.75
2021,9,position,WR,8.2,8.424999999999999,8.7
2021,9,position,TE,8.3,8.36,8.4
2021,10,slot,QB,15.74,18.193,20.200000000000003
2021,10,slot,RB,11.6,11.6675,11.75
2021,10,slot,WR,9.8,10.16,10.6
2021,10,slot,TE,9.2,9.349999999999998,9.45
2021,10,slot,FLEX,8.100000000000001,8.22,8.4
2021,10,slot,SF,9.78,11.085,12.39
2021,10,position,QB,9.78,11.215499999999999,12.39
2021,10,position,RB,8.3,8.502500000000001,8.75
2021,10,position,WR,8.100000000000001,8.370000000000001,8.7
2021,10,position,TE,8.4,8.4,8.4
2021,11,slot,QB,19.28,19.786,20.200000000000003
2021,11,slot,RB,9.2,10.3475,11.75
2021,11,slot,WR,9.8,10.16,10.6
2021,11,slot,TE,9.9,9.629999999999999,9.45
2021,11,slot,FLEX,7.4,7.800000000000001,8.4
2021,11,slot,SF,9.220000000000002,10.805000000000001,12.39
2021,11,position,QB,9.220000000000002,10.963500000000002,12.39
2021,11,position,RB,7.4,8.0075,8.75
2021,11,position,WR,7.4,7.984999999999999,8.7
2021,11,position,TE,7.5,8.04,8.4
2021,12,slot,QB,17.020000000000003,18.769000000000005,20.200000000000003
2021,12,slot,RB,11.3,11.502500000000001,11.75
2021,12,slot,WR,9.7,10.105,10.6
2021,12,slot,TE,10.5,9.87,9.45
2021,12,slot,FLEX,8.0,8.16,8.4
2021,12,slot,SF,11.24,11.815000000000001,12.39
2021,12,position,QB,11.24,11.8725,12.39
2021,12,position,RB,8.0,8.3375,8.75
2021,12,position,WR,8.3,8.48,8.7
2021,12,position,TE,8.1,8.280000000000001,8.4
2021,13,slot,QB,17.86,19.147000000000002,20.200000000000003
2021,13,slot,RB,11.1,11.392500000000002,11.75
2021,13,slot,WR,9.7,10.105,10.6
2021,13,slot,TE,8.5,9.07,9.45
2021,13,slot,FLEX,7.4,7.800000000000001,8.4
2021,13,slot,SF,11.76,12.075,12.39
2021,13,position,QB,11.76,12.1065,12.39
2021,13,position,RB,7.4,8.0075,8.75
2021,13,position,WR,7.5,8.04,8.7
2021,13,position,TE,8.100000000000001,8.280000000000001,8.4
2021,14,slot,QB,20.14,20.173000000000002,20.200000000000003
2021,14,slot,RB,10.9,11.282500000000002,11.75
2021,14,slot,WR,12.4,11.59,10.6
2021,14,slot,TE,8.7,9.149999999999999,9.45
2021,14,slot,FLEX,8.600000000000001,8.520000000000001,8.4
2021,14,slot,SF,13.82,13.105,12.39
2021,14,position,QB,13.82,13.0335,12.39
2021,14,position,RB,8.600000000000001,8.6675,8.75
2021,14,position,WR,8.8,8.755,8.7
2021,14,position,TE,8.7,8.52,8.4
2021,15,slot,QB,16.9,18.715000000000003,20.200000000000003
2021,15,slot,RB,10.2,10.8975,11.75
2021,15,slot,WR,8.3,9.335,10.6
2021,15,slot,TE,9.7,9.549999999999999,9.45
2021,15,slot,FLEX,7.9,8.100000000000001,8.4
2021,15,slot,SF,10.58,11.485,12.39
2021,15,position,QB,10.58,11.5755,12.39
2021,15,position,RB,7.9,8.2825,8.75
2021,15,position,WR,7.9,8.26,8.7
2021,15,position,TE,8.0,8.24,8.4
2021,16,slot,QB,17.4,18.94,20.200000000000003
2021,16,slot,RB,11.9,11.832500000000001,11.75
2021,16,slot,WR,11.4,11.04,10.6
2021,16,slot,TE,8.7,9.149999999999999,9.45
2021,16,slot,FLEX,8.7,8.58,8.4
2021,16,slot,SF,12.900000000000002,12.645000000000001,12.39
2021,16,position,QB,12.900000000000002,12.619500000000002,12.39
2021,16,position,RB,8.7,8.7225,8.75
2021,16,position,WR,8.9,8.81,8.7
2021,16,position,TE,8.7,8.52,8.4
2021,17,slot,QB,19.06,19.687,20.200000000000003
2021,17,slot,RB,14.3,13.152500000000002,11.75
2021,17,slot,WR,11.0,10.82,10.6
2021,17,slot,TE,8.4,9.03,9.45
2021,17,slot,FLEX,8.4,8.4,8.4
2021,17,slot,SF,11.28,11.835,12.39
2021,17,position,QB,11.28,11.8905,12.39
2021,17,position,RB,8.7,8.7225,8.75
2021,17,position,WR,8.8,8.755,8.7
2021,17,position,TE,8.4,8.4,8.4
2021,18,slot,QB,21.9,20.965000000000003,20.200000000000003
2021,18,slot,RB,12.6,12.217500000000001,11.75
2021,18,slot,WR,13.5,12.195,10.6
2021,18,slot,TE,11.1,10.11,9.45
