player,team,position,current_salary,real_salary,years_remaining,cap_today_current,cap_y0,cap_y1,cap_y2,cap_y3,pv_cap,dead_money_cut_now_nominal,dead_money_cut_now_pv,schedule_source,needs_schedule_validation
Breece Hall,BG | 2 Rice 2 Addison,RB,25.0,25.0,1,25.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0,standard_rule,False
Rashee Rice,BG | 2 Rice 2 Addison,WR,21.0,21.0,1,21.0,21.0,0.0,0.0,0.0,21.0,21.0,21.0,standard_rule,False
Tetairoa McMillan,BG | 2 Rice 2 Addison,WR,9.0,9.0,2,9.0,9.0,10.0,0.0,0.0,17.0,12.0,11.4,standard_rule,False
Emeka Egbuka,BG | 2 Rice 2 Addison,WR,5.0,5.0,2,5.0,5.0,6.0,0.0,0.0,9.8,7.0,6.6,standard_rule,False
Harold Fannin Jr.,BG | 2 Rice 2 Addison,TE,3.0,3.0,3,3.0,3.0,4.0,5.0,0.0,9.4,5.0,4.6,standard_rule,False
Ricky Pearsall,BG | 2 Rice 2 Addison,WR,5.0,5.0,1,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,standard_rule,False
Jameson Williams,BG | 2 Rice 2 Addison,WR,3.0,3.0,2,3.0,3.0,4.0,0.0,0.0,6.2,4.0,3.8,best_effort_instrument,True
Brock Purdy,BG | 2 Rice 2 Addison,QB,24.0,24.0,1,24.0,24.0,0.0,0.0,0.0,24.0,24.0,24.0,standard_rule,False
C.J. Stroud,BG | 2 Rice 2 Addison,QB,4.0,4.0,1,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,standard_rule,False
Blake Corum,BG | 2 Rice 2 Addison,RB,3.0,3.0,1,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,standard_rule,False
Tyler Allgeier,BG | 2 Rice 2 Addison,RB,8.0,8.0,1,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,standard_rule,False
Jonathon Brooks,BG | 2 Rice 2 Addison,RB,2.0,6.0,1,2.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,standard_rule,False
Bhayshul Tuten,BG | 2 Rice 2 Addison,RB,1.0,4.0,2,1.0,4.0,5.0,0.0,0.0,8.0,6.0,5.6,standard_rule,False
Jaylin Noel,BG | 2 Rice 2 Addison,WR,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Colston Loveland,BG | 2 Rice 2 Addison,TE,1.0,4.0,2,1.0,4.0,5.0,0.0,0.0,8.0,6.0,5.6,standard_rule,False
Jaydon Blue,BG | 2 Rice 2 Addison,RB,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Jalen McMillan,BG | 2 Rice 2 Addison,WR,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,standard_rule,False
Luther Burden III,BG | 2 Rice 2 Addison,WR,2.0,6.0,2,2.0,6.0,7.0,0.0,0.0,11.6,8.0,7.6,standard_rule,False
Kyle Williams,BG | 2 Rice 2 Addison,WR,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Isiah Pacheco,Box of Broken Toys,RB,12.0,12.0,2,12.0,12.0,14.0,0.0,0.0,23.2,16.0,15.2,best_effort_instrument,True
Jayden Reed,Box of Broken Toys,WR,14.0,14.0,2,14.0,14.0,16.0,0.0,0.0,26.8,18.0,17.2,best_effort_instrument,True
Marvin Mims Jr.,Box of Broken Toys,WR,5.0,5.0,3,5.0,5.0,6.0,7.0,0.0,14.280000000000001,8.0,7.4,standard_rule,False
Dallas Goedert,Box of Broken Toys,TE,7.0,7.0,1,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,best_effort_instrument,True
Rashid Shaheed,Box of Broken Toys,WR,9.0,9.0,2,9.0,9.0,10.0,0.0,0.0,17.0,12.0,11.4,standard_rule,False
Jayden Higgins,Box of Broken Toys,WR,5.0,5.0,2,5.0,5.0,6.0,0.0,0.0,9.8,7.0,6.6,standard_rule,False
Joe Burrow,Box of Broken Toys,QB,29.0,29.0,1,29.0,29.0,0.0,0.0,0.0,29.0,29.0,29.0,standard_rule,False
Adam Thielen,Box of Broken Toys,WR,6.0,6.0,1,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,standard_rule,False
Cam Skattebo,Box of Broken Toys,RB,5.0,5.0,2,5.0,5.0,6.0,0.0,0.0,9.8,7.0,6.6,standard_rule,False
Tory Horton,Box of Broken Toys,WR,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
Xavier Legette,Box of Broken Toys,WR,1.0,4.0,1,1.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,standard_rule,False
Dont'e Thornton Jr.,Box of Broken Toys,WR,2.0,6.0,2,2.0,6.0,7.0,0.0,0.0,11.6,8.0,7.6,standard_rule,False
Jaylin Lane,Box of Broken Toys,WR,1.0,3.0,1,1.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,standard_rule,False
Jordan James,Box of Broken Toys,RB,1.0,3.0,3,1.0,3.0,4.0,5.0,0.0,9.4,5.0,4.6,standard_rule,False
Roman Wilson,Box of Broken Toys,WR,1.0,2.0,1,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,standard_rule,False
Dylan Sampson,Box of Broken Toys,RB,1.0,2.0,2,1.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Isaac TeSlaa,Box of Broken Toys,WR,2.0,8.0,1,2.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,standard_rule,False
Caleb Williams,AJJ | Turf Titans,QB,18.0,18.0,1,18.0,18.0,0.0,0.0,0.0,18.0,18.0,18.0,standard_rule,False
Tyjae Spears,AJJ | Turf Titans,RB,4.0,4.0,1,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,standard_rule,False
Omarion Hampton,AJJ | Turf Titans,RB,14.0,14.0,2,14.0,14.0,16.0,0.0,0.0,26.8,18.0,17.2,standard_rule,False
Malik Nabers,AJJ | Turf Titans,WR,16.0,16.0,1,16.0,16.0,0.0,0.0,0.0,16.0,16.0,16.0,standard_rule,False
Brian Thomas Jr.,AJJ | Turf Titans,WR,6.0,6.0,1,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,standard_rule,False
Rome Odunze,AJJ | Turf Titans,WR,13.0,13.0,1,13.0,13.0,0.0,0.0,0.0,13.0,13.0,13.0,standard_rule,False
Dalton Schultz,AJJ | Turf Titans,TE,2.0,2.0,1,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,standard_rule,False
DK Metcalf,AJJ | Turf Titans,WR,24.0,24.0,1,24.0,24.0,0.0,0.0,0.0,24.0,24.0,24.0,standard_rule,False
Matthew Golden,AJJ | Turf Titans,WR,5.0,5.0,2,5.0,5.0,6.0,0.0,0.0,9.8,7.0,6.6,standard_rule,False
Jalen Coker,AJJ | Turf Titans,WR,2.0,2.0,2,2.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Woody Marks,AJJ | Turf Titans,RB,2.0,2.0,2,2.0,2.0,3.0,0.0,0.0,4.4,3.0,2.8,standard_rule,False
Deebo Samuel Sr.,AJJ | Turf Titans,WR,27.0,27.0,1,27.0,27.0,0.0,0.0,0.0,27.0,27.0,27.0,standard_rule,False
Tre Harris,AJJ | Turf Titans,WR,1.0,4.0,2,1.0,4.0,5.0,0.0,0.0,8.0,6.0,5.6,standard_rule,False
Brashard Smith,AJJ | Turf Titans,RB,1.0,1.0,2,1.0,1.0,2.0,0.0,0.0,2.6,2.0,1.8,standard_rule,False
