player,team,position,tv_y0,tv_y1,tv_y2,tv_y3,pv_tv,tv_source
Arian Smith,That One Egg Was 40 Yards,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Garrett Wilson,That One Egg Was 40 Yards,WR,36.501704710147656,36.501704710147656,36.501704710147656,36.501704710147656,107.75303230435588,explicit_path
Ja'Marr Chase,That One Egg Was 40 Yards,WR,89.44631446015306,89.44631446015306,89.44631446015306,89.44631446015306,264.0455202863718,explicit_path
Jakobi Meyers,That One Egg Was 40 Yards,WR,10.01157017683248,10.01157017683248,10.01157017683248,10.01157017683248,29.55415516200948,explicit_path
Jalen Royals,That One Egg Was 40 Yards,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
Josh Downs,That One Egg Was 40 Yards,WR,4.837466104965387,4.837466104965387,4.837466104965387,4.837466104965387,14.280199941857822,explicit_path
Konata Mumpfield,That One Egg Was 40 Yards,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,-12.042708656804994,explicit_path
J.J. McCarthy,Turner | Banana Breath,QB,-1.344745252299209,-1.344745252299209,-1.344745252299209,-1.344745252299209,-3.9696879847872646,explicit_path
Jalen Hurts,Turner | Banana Breath,QB,70.36632135598788,70.36632135598788,70.36632135598788,70.36632135598788,207.72138064287623,explicit_path
Michael Penix Jr.,Turner | Banana Breath,QB,14.082020824588556,14.082020824588556,14.082020824588556,14.082020824588556,41.57012547418542,explicit_path
Patrick Mahomes,Turner | Banana Breath,QB,52.607783822140526,52.607783822140526,52.607783822140526,52.607783822140526,155.29817784295884,explicit_path
Ashton Jeanty,Turner | Banana Breath,RB,67.07794670178978,67.07794670178978,67.07794670178978,67.07794670178978,198.01409866368346,explicit_path
Derrick Henry,Turner | Banana Breath,RB,30.79193045165168,30.79193045165168,30.79193045165168,30.79193045165168,90.89777869327575,explicit_path
Jacory Croskey-Merritt,Turner | Banana Breath,RB,11.142907948967318,11.142907948967318,11.142907948967318,11.142907948967318,32.893864265351525,explicit_path
Quinshon Judkins,Turner | Banana Breath,RB,15.83076456597613,15.83076456597613,15.83076456597613,15.83076456597613,46.732416998761536,explicit_path
RJ Harvey,Turner | Banana Breath,RB,15.83076456597613,15.83076456597613,15.83076456597613,15.83076456597613,46.732416998761536,explicit_path
Zach Charbonnet,Turner | Banana Breath,RB,11.142907948967318,11.142907948967318,11.142907948967318,11.142907948967318,32.893864265351525,explicit_path
Brock Bowers,Turner | Banana Breath,TE,30.76199907688703,30.76199907688703,30.76199907688703,30.76199907688703,90.8094212749705,explicit_path
Dalton Kincaid,Turner | Banana Breath,TE,0.9390487130852176,0.9390487130852176,0.9390487130852176,0.9390487130852176,2.7720718010275625,explicit_path
Courtland Sutton,Turner | Banana Breath,WR,12.98207655471401,12.98207655471401,12.98207655471401,12.98207655471401,38.32308998951575,explicit_path
Ladd McConkey,Turner | Banana Breath,WR,36.501704710147656,36.501704710147656,36.501704710147656,36.501704710147656,107.75303230435588,explicit_path
Travis Hunter,Turner | Banana Breath,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,5.117365678515041,explicit_path
Aaron Rodgers,,QB,-1.344745252299209,-1.344745252299209,-1.344745252299209,-1.344745252299209,-3.9696879847872646,explicit_path
Anthony Richardson Sr.,,QB,-1.344745252299209,-1.344745252299209,-1.344745252299209,-1.344745252299209,-3.9696879847872646,explicit_path
Baker Mayfield,,QB,41.52452255758232,41.52452255758232,41.52452255758232,41.52452255758232,122.58039058998301,explicit_path
Deshaun Watson,,QB,-1.344745252299209,-1.344745252299209,-1.344745252299209,-1.344745252299209,-3.9696879847872646,explicit_path
Fernando Mendoza,,QB,17.914671742590027,17.914671742590027,17.914671742590027,17.914671742590027,52.88411098412576,explicit_path
Garrett Nussmeier,,QB,-1.344745252299209,-1.344745252299209,-1.344745252299209,-1.344745252299209,-3.9696879847872646,explicit_path
Geno Smith,,QB,-1.344745252299209,-1.344745252299209,-1.344745252299209,-1.344745252299209,-3.9696879847872646,explicit_path
