player,team,position,year_index,cap_hit_real,cap_hit_current,schedule_source,needs_schedule_validation
Emeka Egbuka,BG | 2 Rice 2 Addison,WR,0,5.0,5.0,standard_rule,False
Emeka Egbuka,BG | 2 Rice 2 Addison,WR,1,6.0,,standard_rule,False
Harold Fannin Jr.,BG | 2 Rice 2 Addison,TE,0,3.0,3.0,standard_rule,False
Harold Fannin Jr.,BG | 2 Rice 2 Addison,TE,1,4.0,,standard_rule,False
Harold Fannin Jr.,BG | 2 Rice 2 Addison,TE,2,5.0,,standard_rule,False
Ricky Pearsall,BG | 2 Rice 2 Addison,WR,0,5.0,5.0,standard_rule,False
Jameson Williams,BG | 2 Rice 2 Addison,WR,0,3.0,3.0,best_effort_instrument,True
Jameson Williams,BG | 2 Rice 2 Addison,WR,1,4.0,,best_effort_instrument,True
Brock Purdy,BG | 2 Rice 2 Addison,QB,0,24.0,24.0,standard_rule,False
C.J. Stroud,BG | 2 Rice 2 Addison,QB,0,4.0,4.0,standard_rule,False
Blake Corum,BG | 2 Rice 2 Addison,RB,0,3.0,3.0,standard_rule,False
Tyler Allgeier,BG | 2 Rice 2 Addison,RB,0,8.0,8.0,standard_rule,False
Jonathon Brooks,BG | 2 Rice 2 Addison,RB,0,6.0,2.0,standard_rule,False
Bhayshul Tuten,BG | 2 Rice 2 Addison,RB,0,4.0,1.0,standard_rule,False
Bhayshul Tuten,BG | 2 Rice 2 Addison,RB,1,5.0,,standard_rule,False
Jaylin Noel,BG | 2 Rice 2 Addison,WR,0,2.0,1.0,standard_rule,False
Jaylin Noel,BG | 2 Rice 2 Addison,WR,1,3.0,,standard_rule,False
Colston Loveland,BG | 2 Rice 2 Addison,TE,0,4.0,1.0,standard_rule,False
Colston Loveland,BG | 2 Rice 2 Addison,TE,1,5.0,,standard_rule,False
Jaydon Blue,BG | 2 Rice 2 Addison,RB,0,2.0,1.0,standard_rule,False
Jaydon Blue,BG | 2 Rice 2 Addison,RB,1,3.0,,standard_rule,False
Jalen McMillan,BG | 2 Rice 2 Addison,WR,0,1.0,1.0,standard_rule,False
Luther Burden III,BG | 2 Rice 2 Addison,WR,0,6.0,2.0,standard_rule,False
Luther Burden III,BG | 2 Rice 2 Addison,WR,1,7.0,,standard_rule,False
Kyle Williams,BG | 2 Rice 2 Addison,WR,0,2.0,1.0,standard_rule,False
Kyle Williams,BG | 2 Rice 2 Addison,WR,1,3.0,,standard_rule,False
Isiah Pacheco,Box of Broken Toys,RB,0,12.0,12.0,best_effort_instrument,True
Isiah Pacheco,Box of Broken Toys,RB,1,14.0,,best_effort_instrument,True
Jayden Reed,Box of Broken Toys,WR,0,14.0,14.0,best_effort_instrument,True
Jayden Reed,Box of Broken Toys,WR,1,16.0,,best_effort_instrument,True
Marvin Mims Jr.,Box of Broken Toys,WR,0,5.0,5.0,standard_rule,False
Marvin Mims Jr.,Box of Broken Toys,WR,1,6.0,,standard_rule,False
Marvin Mims Jr.,Box of Broken Toys,WR,2,7.0,,standard_rule,False
Dallas Goedert,Box of Broken Toys,TE,0,7.0,7.0,best_effort_instrument,True
Rashid Shaheed,Box of Broken Toys,WR,0,9.0,9.0,standard_rule,False
Rashid Shaheed,Box of Broken Toys,WR,1,10.0,,standard_rule,False
Jayden Higgins,Box of Broken Toys,WR,0,5.0,5.0,standard_rule,False
Jayden Higgins,Box of Broken Toys,WR,1,6.0,,standard_rule,False
Joe Burrow,Box of Broken Toys,QB,0,29.0,29.0,standard_rule,False
Adam Thielen,Box of Broken Toys,WR,0,6.0,6.0,standard_rule,False
Cam Skattebo,Box of Broken Toys,RB,0,5.0,5.0,standard_rule,False
Cam Skattebo,Box of Broken Toys,RB,1,6.0,,standard_rule,False
Tory Horton,Box of Broken Toys,WR,0,1.0,1.0,standard_rule,False
Tory Horton,Box of Broken Toys,WR,1,2.0,,standard_rule,False
Xavier Legette,Box of Broken Toys,WR,0,4.0,1.0,standard_rule,False
Dont'e Thornton Jr.,Box of Broken Toys,WR,0,6.0,2.0,standard_rule,False
