player,team,position,tv_y0,tv_y1,tv_y2,tv_y3,adp,rsv_hat,rsv_p25,rsv_p50,rsv_p75,rankings_player,nfl_team,matched_rankings,is_rostered,tv_input_source,ranking_source,gsis_id,_season
Dont'e Thornton Jr.,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,286,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Dont'e Thornton Jr.,LV,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040581,2026
Isaac TeSlaa,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,188,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Isaac TeSlaa,DET,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040669,2026
Jayden Higgins,Box of Broken Toys,WR,4.837466104965387,4.837466104965387,4.837466104965387,4.837466104965387,129,4.837466104965387,-5.521178874466207,0.5545638102571155,14.213497732810838,Jayden Higgins,HOU,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040130,2026
Jayden Reed,Box of Broken Toys,WR,4.837466104965387,4.837466104965387,4.837466104965387,4.837466104965387,132,4.837466104965387,-5.296409065670911,0.39168601764134703,13.240485879567743,Jayden Reed,GB,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039146,2026
Jaylin Lane,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,300,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Jaylin Lane,WAS,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040164,2026
Marvin Mims Jr.,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,208,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Marvin Mims Jr.,DEN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0038976,2026
Rashid Shaheed,Box of Broken Toys,WR,-1.7765210863149712,-1.7765210863149712,-1.7765210863149712,-1.7765210863149712,168,-1.7765210863149712,-9.119278058542363,-4.136661516483481,5.163249694220619,Rashid Shaheed,SEA,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0037545,2026
Roman Wilson,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,329,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Roman Wilson,PIT,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039739,2026
Tory Horton,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,223,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Tory Horton,SEA,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040648,2026
Xavier Legette,Box of Broken Toys,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,219,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Xavier Legette,CAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039342,2026
Daniel Jones,Grayson  | Bargain Bin,QB,17.914671742590027,17.914671742590027,17.914671742590027,17.914671742590027,90,17.914671742590027,1.946847359864007,15.712859433825162,28.779794922130904,Daniel Jones,IND,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0035710,2026
Jordan Love,Grayson  | Bargain Bin,QB,43.61251173678756,43.61251173678756,43.61251173678756,43.61251173678756,41,43.61251173678756,10.446273238371397,38.417633772463866,58.709335823731905,Jordan Love,GB,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036264,2026
Kyler Murray,Grayson  | Bargain Bin,QB,41.524522557582316,41.524522557582316,41.524522557582316,41.524522557582316,51,41.524522557582316,5.877793742512907,35.17933645478919,60.347669633429796,Kyler Murray,MIN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0035228,2026
Chase Brown,Grayson  | Bargain Bin,RB,39.569328711992945,39.569328711992945,39.569328711992945,39.569328711992945,36,39.569328711992945,20.704790283792942,34.81811300190226,58.8749630347661,Chase Brown,CIN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0038597,2026
Jonathan Taylor,Grayson  | Bargain Bin,RB,67.07794670178978,67.07794670178978,67.07794670178978,67.07794670178978,19,67.07794670178978,22.217337401002716,51.028331673699725,96.53195199644696,Jonathan Taylor,IND,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036223,2026
Kyle Monangai,Grayson  | Bargain Bin,RB,14.633839705389315,14.633839705389315,14.633839705389315,14.633839705389315,97,14.633839705389315,-4.514515056018203,4.896252992378965,25.28229234553518,Kyle Monangai,CHI,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040236,2026
Travis Etienne Jr.,Grayson  | Bargain Bin,RB,28.80292422380369,28.80292422380369,28.80292422380369,28.80292422380369,60,28.80292422380369,4.86974904557167,20.0175025856249,45.852050943138195,Travis Etienne Jr.,NO,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036973,2026
Isaiah Likely,Grayson  | Bargain Bin,TE,0.9390487130852175,0.9390487130852175,0.9390487130852175,0.9390487130852175,145,0.9390487130852175,-6.640407411238174,-1.455995127385533,5.896473997877726,Isaiah Likely,NYG,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0037838,2026
Davante Adams,Grayson  | Bargain Bin,WR,36.501704710147656,36.501704710147656,36.501704710147656,36.501704710147656,56,36.501704710147656,12.38225217693353,30.655808193689158,55.72626915750919,Davante Adams,LAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0031381,2026
Drake London,Grayson  | Bargain Bin,WR,53.57937714279428,53.57937714279428,53.57937714279428,53.57937714279428,27,53.57937714279428,29.042890708935403,48.05208863118985,67.52572787784553,Drake London,ATL,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0037238,2026
Malik Washington,Grayson  | Bargain Bin,WR,-4.079508352576218,-4.079508352576218,-4.079508352576218,-4.079508352576218,254,-4.079508352576218,-11.422265324803611,-6.439648782744728,2.8602624279593725,Malik Washington,MIA,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039880,2026
Tee Higgins,Grayson  | Bargain Bin,WR,36.501704710147656,36.501704710147656,36.501704710147656,36.501704710147656,49,36.501704710147656,8.700422182781534,28.10303925550722,51.48421236145246,Tee Higgins,CIN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036410,2026
Wan'Dale Robinson,Grayson  | Bargain Bin,WR,4.837466104965387,4.837466104965387,4.837466104965387,4.837466104965387,113,4.837466104965387,-9.786727551852874,-2.366521906235042,7.653856873820612,Wan'Dale Robinson,TEN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0038117,2026
Xavier Worthy,Grayson  | Bargain Bin,WR,1.7335249588465584,1.7335249588465584,1.7335249588465584,1.7335249588465584,140,1.7335249588465584,-7.825063343648004,-3.129132536106108,7.646170493611391,Xavier Worthy,KC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039894,2026
Bo Nix,John | Turbo Team,QB,48.684081488921706,48.684081488921706,48.684081488921706,48.684081488921706,29,48.684081488921706,18.59544947978033,42.09552565970683,65.71828460098249,Bo Nix,DEN,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039732,2026
Justin Herbert,John | Turbo Team,QB,65.51965613346417,65.51965613346417,65.51965613346417,65.51965613346417,14,65.51965613346417,45.25914543483687,58.93604756829447,90.88497178494782,Justin Herbert,LAC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036355,2026
Jahmyr Gibbs,John | Turbo Team,RB,111.71163377244993,111.71163377244993,111.71163377244993,111.71163377244993,8,111.71163377244993,61.11668525448732,95.98444362131606,158.46294060193082,Jahmyr Gibbs,DET,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0039139,2026
Kaleb Johnson,John | Turbo Team,RB,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,210,-0.0013952432203538923,-6.969293934069573,-4.015501319077036,1.551523674956429,Kaleb Johnson,PIT,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040142,2026
Kenneth Walker III,John | Turbo Team,RB,30.791930451651766,30.791930451651766,30.791930451651766,30.791930451651766,40,30.791930451651766,9.186118398197927,24.596152599427114,49.39427602766901,Kenneth Walker III,KC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0038134,2026
Ollie Gordon II,John | Turbo Team,RB,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,216,-0.0013952432203538923,-6.969293934069573,-4.015501319077036,1.551523674956429,Ollie Gordon II,MIA,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040198,2026
Trevor Etienne,John | Turbo Team,RB,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,-0.0013952432203538923,277,-0.0013952432203538923,-6.969293934069573,-4.015501319077036,1.551523674956429,Trevor Etienne,CAR,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0040644,2026
Brenton Strange,John | Turbo Team,TE,0.9390487130852175,0.9390487130852175,0.9390487130852175,0.9390487130852175,134,0.9390487130852175,-9.413437211343194,-2.338864679763071,10.1655410393672,Brenton Strange,JAC,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0038935,2026
Kyle Pitts,John | Turbo Team,TE,0.9390487130852175,0.9390487130852175,0.9390487130852175,0.9390487130852175,102,0.9390487130852175,-8.966395727421286,-1.072839971967793,7.76380011083505,Kyle Pitts Sr.,ATL,True,True,phase2_2026_rankings_fallback,fantasypros_rankings,00-0036970,2026
